dataset,seed,auc,acc,ece,coverage,high_exposure_rate,temperature
assistments,42,0.6881573801138902,0.6546875,0.05768830975284798,0.5247341996455995,0.5247341996455995,1.5
assistments,1024,0.6883874213078902,0.6541015625,0.031958391566877235,0.518679858239811,0.518679858239811,1.5
